report_number,date_reported,date_of_occurrence,time_of_occurrence,city,crime_code,crime_description,victim_age,victim_gender,weapon_used,crime_domain,police_deployed,case_closed,date_case_closed,year,month,month_name,day,day_of_week,occurrence_hour,time_period,reporting_delay_days,age_group,case_resolution_days
16,2020-01-02 07:00:00,2020-01-01 15:00:00,01-01-2020 18:54,Kolkata,357,COUNTERFEITING,51,F,Explosives,Other Crime,16,Yes,2020-03-30 07:00:00,2020,1,January,1,Wednesday,18,Evening,0.6666666666666666,Senior,88.66666666666667
17,2020-01-03 07:00:00,2020-01-01 16:00:00,02-01-2020 02:57,Ghaziabad,509,DRUG OFFENSE,61,M,Poison,Other Crime,6,No,,2020,1,January,1,Wednesday,2,Night,1.625,Senior,
18,2020-01-04 02:00:00,2020-01-01 17:00:00,01-01-2020 23:09,Pune,342,ARSON,64,F,Other,Fire Accident,2,No,,2020,1,January,1,Wednesday,23,Night,2.375,Senior,
19,2020-01-02 20:00:00,2020-01-01 18:00:00,02-01-2020 10:42,Bangalore,480,CYBERCRIME,11,M,Unknown,Other Crime,3,Yes,2020-01-24 20:00:00,2020,1,January,1,Wednesday,10,Morning,1.0833333333333333,Minor,23.083333333333332
20,2020-01-03 18:00:00,2020-01-01 19:00:00,02-01-2020 18:02,Bangalore,369,EXTORTION,62,F,Blunt Object,Other Crime,2,Yes,2020-03-05 18:00:00,2020,1,January,1,Wednesday,18,Evening,1.9583333333333333,Senior,63.958333333333336
21,2020-01-03 22:00:00,2020-01-01 20:00:00,02-01-2020 02:33,Hyderabad,251,TRAFFIC VIOLATION,50,F,Poison,Traffic Fatality,14,Yes,2020-01-22 22:00:00,2020,1,January,1,Wednesday,2,Night,2.0833333333333335,Adult,21.083333333333332
22,2020-01-03 12:00:00,2020-01-01 21:00:00,02-01-2020 10:11,Mumbai,374,VANDALISM,64,F,Other,Other Crime,15,Yes,2020-03-03 12:00:00,2020,1,January,1,Wednesday,10,Morning,1.625,Senior,61.625
23,2020-01-02 10:00:00,2020-01-01 22:00:00,01-01-2020 22:03,Jaipur,507,SHOPLIFTING,69,F,Blunt Object,Other Crime,13,No,,2020,1,January,1,Wednesday,22,Night,0.5,Senior,
24,2020-01-03 09:00:00,2020-01-01 23:00:00,01-01-2020 23:40,Chennai,322,VANDALISM,77,F,Other,Other Crime,18,No,,2020,1,January,1,Wednesday,23,Night,1.4166666666666667,Senior,
25,2020-01-03 01:00:00,2020-02-01 00:00:00,02-01-2020 20:47,Bangalore,527,DRUG OFFENSE,18,F,Other,Other Crime,1,No,,2020,2,February,1,Saturday,20,Evening,,Young Adult,
26,2020-01-02 16:00:00,2020-02-01 01:00:00,02-01-2020 08:21,Jaipur,282,ASSAULT,60,M,Firearm,Violent Crime,15,Yes,2020-03-12 16:00:00,2020,2,February,1,Saturday,8,Morning,,Senior,40.625
27,2020-01-02 06:00:00,2020-02-01 02:00:00,02-01-2020 04:02,Pune,247,IDENTITY THEFT,49,M,Blunt Object,Violent Crime,13,No,,2020,2,February,1,Saturday,4,Night,,Adult,
28,2020-01-02 15:00:00,2020-02-01 03:00:00,02-01-2020 20:11,Lucknow,489,PUBLIC INTOXICATION,41,F,Unknown,Other Crime,7,No,,2020,2,February,1,Saturday,20,Evening,,Adult,
29,2020-01-04 14:00:00,2020-02-01 04:00:00,02-01-2020 19:56,Bangalore,387,VANDALISM,33,F,Explosives,Other Crime,19,No,,2020,2,February,1,Saturday,19,Evening,,Adult,
30,2020-01-04 23:00:00,2020-02-01 05:00:00,02-01-2020 09:35,Bhopal,517,BURGLARY,37,F,Unknown,Other Crime,4,No,,2020,2,February,1,Saturday,9,Morning,,Adult,
31,2020-01-03 07:00:00,2020-02-01 06:00:00,02-01-2020 13:06,Bhopal,570,HOMICIDE,32,F,Explosives,Other Crime,13,No,,2020,2,February,1,Saturday,13,Afternoon,,Adult,
32,2020-01-04 13:00:00,2020-02-01 07:00:00,02-01-2020 15:05,Hyderabad,222,VANDALISM,60,M,Knife,Other Crime,3,Yes,2020-03-18 13:00:00,2020,2,February,1,Saturday,15,Afternoon,,Senior,46.25
33,2020-01-03 04:00:00,2020-02-01 08:00:00,03-01-2020 03:01,Delhi,319,ILLEGAL POSSESSION,73,F,Knife,Other Crime,19,No,,2020,2,February,1,Saturday,3,Night,,Senior,
34,2020-01-05 07:00:00,2020-02-01 09:00:00,03-01-2020 02:40,Patna,575,VEHICLE - STOLEN,24,F,Explosives,Violent Crime,6,No,,2020,2,February,1,Saturday,2,Night,,Young Adult,
35,2020-01-04 21:00:00,2020-02-01 10:00:00,02-01-2020 22:18,Kanpur,341,VANDALISM,34,F,Other,Other Crime,14,No,,2020,2,February,1,Saturday,22,Night,,Adult,
36,2020-01-04 21:00:00,2020-02-01 11:00:00,02-01-2020 17:48,Chennai,396,COUNTERFEITING,32,F,Blunt Object,Other Crime,11,No,,2020,2,February,1,Saturday,17,Evening,,Adult,
37,2020-01-03 05:00:00,2020-02-01 12:00:00,03-01-2020 00:18,Lucknow,187,SEXUAL ASSAULT,33,F,Blunt Object,Violent Crime,9,Yes,2020-07-02 05:00:00,2020,2,February,1,Saturday,0,Night,,Adult,151.70833333333334
38,2020-01-04 05:00:00,2020-02-01 13:00:00,02-01-2020 18:04,Varanasi,280,SHOPLIFTING,22,F,Explosives,Other Crime,14,No,,2020,2,February,1,Saturday,18,Evening,,Young Adult,
39,2020-01-03 23:00:00,2020-02-01 14:00:00,02-01-2020 21:24,Surat,487,VEHICLE - STOLEN,32,F,Unknown,Violent Crime,13,Yes,2020-03-11 23:00:00,2020,2,February,1,Saturday,21,Night,,Adult,39.375
40,2020-01-03 02:00:00,2020-02-01 15:00:00,03-01-2020 14:05,Mumbai,154,FRAUD,69,F,Explosives,Other Crime,10,Yes,2020-01-15 02:00:00,2020,2,February,1,Saturday,14,Afternoon,,Senior,
41,2020-01-05 01:00:00,2020-02-01 16:00:00,03-01-2020 01:51,Visakhapatnam,148,HOMICIDE,28,F,Firearm,Other Crime,2,No,,2020,2,February,1,Saturday,1,Night,,Young Adult,
42,2020-01-03 11:00:00,2020-02-01 17:00:00,03-01-2020 11:09,Surat,583,ILLEGAL POSSESSION,42,M,Blunt Object,Other Crime,6,No,,2020,2,February,1,Saturday,11,Morning,,Adult,
43,2020-01-03 03:00:00,2020-02-01 18:00:00,03-01-2020 09:30,Delhi,172,FIREARM OFFENSE,40,M,Poison,Fire Accident,10,Yes,2020-03-17 03:00:00,2020,2,February,1,Saturday,9,Morning,,Adult,44.375
44,2020-01-04 07:00:00,2020-02-01 19:00:00,03-01-2020 08:34,Mumbai,300,SEXUAL ASSAULT,44,M,Other,Violent Crime,7,No,,2020,2,February,1,Saturday,8,Morning,,Adult,
45,2020-01-05 19:00:00,2020-02-01 20:00:00,03-01-2020 06:22,Kolkata,387,ARSON,44,F,Blunt Object,Fire Accident,10,Yes,2020-01-12 19:00:00,2020,2,February,1,Saturday,6,Morning,,Adult,
46,2020-01-04 19:00:00,2020-02-01 21:00:00,03-01-2020 09:02,Patna,297,DRUG OFFENSE,67,M,Knife,Other Crime,8,No,,2020,2,February,1,Saturday,9,Morning,,Senior,
47,2020-01-05 04:00:00,2020-02-01 22:00:00,03-01-2020 09:55,Delhi,555,ROBBERY,47,F,Unknown,Violent Crime,9,No,,2020,2,February,1,Saturday,9,Morning,,Adult,
48,2020-01-05 17:00:00,2020-02-01 23:00:00,03-01-2020 03:42,Lucknow,128,FIREARM OFFENSE,38,F,Blunt Object,Fire Accident,14,Yes,2020-03-14 17:00:00,2020,2,February,1,Saturday,3,Night,,Adult,41.75
49,2020-01-05 19:00:00,2020-03-01 00:00:00,03-01-2020 02:59,Jaipur,139,ILLEGAL POSSESSION,77,F,Firearm,Other Crime,17,No,,2020,3,March,1,Sunday,2,Night,,Senior,
50,2020-01-03 13:00:00,2020-03-01 01:00:00,03-01-2020 06:06,Hyderabad,561,DRUG OFFENSE,37,F,Blunt Object,Other Crime,7,No,,2020,3,March,1,Sunday,6,Morning,,Adult,
51,2020-01-03 05:00:00,2020-03-01 02:00:00,03-01-2020 17:10,Nagpur,573,BURGLARY,54,F,Other,Other Crime,12,Yes,2020-04-13 05:00:00,2020,3,March,1,Sunday,17,Evening,,Senior,43.125
52,2020-01-05 12:00:00,2020-03-01 03:00:00,03-01-2020 19:13,Kolkata,260,BURGLARY,38,F,Blunt Object,Other Crime,5,Yes,2020-04-14 12:00:00,2020,3,March,1,Sunday,19,Evening,,Adult,44.375
53,2020-01-05 00:00:00,2020-03-01 04:00:00,03-01-2020 22:01,Ghaziabad,211,PUBLIC INTOXICATION,29,M,Poison,Other Crime,15,Yes,2020-01-20 00:00:00,2020,3,March,1,Sunday,22,Night,,Young Adult,
54,2020-01-05 10:00:00,2020-03-01 05:00:00,03-01-2020 18:47,Delhi,312,BURGLARY,75,M,Explosives,Other Crime,2,No,,2020,3,March,1,Sunday,18,Evening,,Senior,
55,2020-01-06 02:00:00,2020-03-01 06:00:00,03-01-2020 07:47,Pune,548,FIREARM OFFENSE,61,F,Poison,Fire Accident,5,No,,2020,3,March,1,Sunday,7,Morning,,Senior,
56,2020-01-04 04:00:00,2020-03-01 07:00:00,03-01-2020 11:11,Meerut,596,BURGLARY,49,F,Unknown,Other Crime,19,No,,2020,3,March,1,Sunday,11,Morning,,Adult,
57,2020-01-06 01:00:00,2020-03-01 08:00:00,03-01-2020 20:16,Kanpur,188,SEXUAL ASSAULT,67,F,Firearm,Violent Crime,8,Yes,2020-07-20 01:00:00,2020,3,March,1,Sunday,20,Evening,,Senior,140.70833333333334
58,2020-01-03 18:00:00,2020-03-01 09:00:00,03-01-2020 09:43,Ahmedabad,110,ASSAULT,70,F,Unknown,Violent Crime,15,No,,2020,3,March,1,Sunday,9,Morning,,Senior,
59,2020-01-04 14:00:00,2020-03-01 10:00:00,04-01-2020 02:40,Chennai,449,TRAFFIC VIOLATION,75,F,Blunt Object,Traffic Fatality,16,No,,2020,3,March,1,Sunday,2,Night,,Senior,
60,2020-01-05 18:00:00,2020-03-01 11:00:00,04-01-2020 05:33,Thane,352,SHOPLIFTING,53,F,Other,Other Crime,6,Yes,2020-03-31 18:00:00,2020,3,March,1,Sunday,5,Night,,Senior,30.291666666666668
61,2020-01-03 22:00:00,2020-03-01 12:00:00,03-01-2020 15:04,Mumbai,196,SHOPLIFTING,16,M,Poison,Other Crime,10,No,,2020,3,March,1,Sunday,15,Afternoon,,Minor,
62,2020-01-05 21:00:00,2020-03-01 13:00:00,04-01-2020 03:32,Surat,359,DRUG OFFENSE,30,M,Explosives,Other Crime,9,Yes,2020-02-09 21:00:00,2020,3,March,1,Sunday,3,Night,,Young Adult,
63,2020-01-03 20:00:00,2020-03-01 14:00:00,04-01-2020 09:27,Chennai,495,FRAUD,56,M,Explosives,Other Crime,5,Yes,2020-03-15 20:00:00,2020,3,March,1,Sunday,9,Morning,,Senior,14.25
64,2020-01-06 06:00:00,2020-03-01 15:00:00,03-01-2020 23:24,Thane,259,ILLEGAL POSSESSION,19,F,Blunt Object,Other Crime,16,Yes,2020-03-20 06:00:00,2020,3,March,1,Sunday,23,Night,,Young Adult,18.625
65,2020-01-05 18:00:00,2020-03-01 16:00:00,04-01-2020 00:59,Visakhapatnam,289,DRUG OFFENSE,58,F,Explosives,Other Crime,19,No,,2020,3,March,1,Sunday,0,Night,,Senior,
66,2020-01-06 14:00:00,2020-03-01 17:00:00,04-01-2020 11:49,Lucknow,409,EXTORTION,45,F,Other,Other Crime,3,Yes,2020-03-15 14:00:00,2020,3,March,1,Sunday,11,Morning,,Adult,13.875
67,2020-01-03 21:00:00,2020-03-01 18:00:00,04-01-2020 17:48,Bhopal,306,CYBERCRIME,25,M,Unknown,Other Crime,6,No,,2020,3,March,1,Sunday,17,Evening,,Young Adult,
68,2020-01-04 20:00:00,2020-03-01 19:00:00,04-01-2020 08:46,Visakhapatnam,420,BURGLARY,22,M,Knife,Other Crime,17,Yes,2020-05-02 20:00:00,2020,3,March,1,Sunday,8,Morning,,Young Adult,62.041666666666664
69,2020-01-06 09:00:00,2020-03-01 20:00:00,04-01-2020 02:24,Hyderabad,469,PUBLIC INTOXICATION,59,F,Explosives,Other Crime,8,Yes,2020-01-17 09:00:00,2020,3,March,1,Sunday,2,Night,,Senior,
70,2020-01-06 12:00:00,2020-03-01 21:00:00,04-01-2020 17:23,Visakhapatnam,292,FIREARM OFFENSE,31,F,Firearm,Fire Accident,1,No,,2020,3,March,1,Sunday,17,Evening,,Adult,
71,2020-01-06 20:00:00,2020-03-01 22:00:00,04-01-2020 00:50,Kolkata,512,FIREARM OFFENSE,58,F,Poison,Fire Accident,6,No,,2020,3,March,1,Sunday,0,Night,,Senior,
72,2020-01-05 18:00:00,2020-03-01 23:00:00,04-01-2020 11:34,Nagpur,244,ARSON,53,F,Knife,Fire Accident,1,Yes,2020-03-23 18:00:00,2020,3,March,1,Sunday,11,Morning,,Senior,21.791666666666668
73,2020-01-05 21:00:00,2020-04-01 00:00:00,04-01-2020 07:58,Lucknow,269,BURGLARY,35,F,Blunt Object,Other Crime,2,No,,2020,4,April,1,Wednesday,7,Morning,,Adult,
74,2020-01-06 05:00:00,2020-04-01 01:00:00,04-01-2020 03:01,Chennai,524,ARSON,36,M,Firearm,Fire Accident,5,Yes,2020-01-20 05:00:00,2020,4,April,1,Wednesday,3,Night,,Adult,
75,2020-01-05 02:00:00,2020-04-01 02:00:00,05-01-2020 01:45,Ahmedabad,404,CYBERCRIME,70,F,Knife,Other Crime,18,No,,2020,4,April,1,Wednesday,1,Night,,Senior,
76,2020-01-06 00:00:00,2020-04-01 03:00:00,04-01-2020 20:57,Delhi,191,VANDALISM,52,M,Explosives,Other Crime,7,Yes,2020-01-26 00:00:00,2020,4,April,1,Wednesday,20,Evening,,Senior,
77,2020-01-04 22:00:00,2020-04-01 04:00:00,04-01-2020 14:30,Mumbai,369,KIDNAPPING,25,F,Explosives,Other Crime,14,No,,2020,4,April,1,Wednesday,14,Afternoon,,Young Adult,
78,2020-01-05 21:00:00,2020-04-01 05:00:00,04-01-2020 17:02,Indore,517,IDENTITY THEFT,58,F,Knife,Violent Crime,10,Yes,2020-03-29 21:00:00,2020,4,April,1,Wednesday,17,Evening,,Senior,
79,2020-01-05 20:00:00,2020-04-01 06:00:00,05-01-2020 03:40,Mumbai,229,ROBBERY,39,F,Poison,Violent Crime,4,No,,2020,4,April,1,Wednesday,3,Night,,Adult,
80,2020-01-07 03:00:00,2020-04-01 07:00:00,04-01-2020 23:54,Visakhapatnam,154,VEHICLE - STOLEN,54,F,Unknown,Violent Crime,15,Yes,2020-01-15 03:00:00,2020,4,April,1,Wednesday,23,Night,,Senior,
81,2020-01-05 03:00:00,2020-04-01 08:00:00,04-01-2020 23:33,Delhi,197,ASSAULT,61,F,Knife,Violent Crime,10,Yes,2020-03-04 03:00:00,2020,4,April,1,Wednesday,23,Night,,Senior,
82,2020-01-06 05:00:00,2020-04-01 09:00:00,04-01-2020 15:37,Jaipur,421,FRAUD,16,F,Explosives,Other Crime,17,No,,2020,4,April,1,Wednesday,15,Afternoon,,Minor,
83,2020-01-06 12:00:00,2020-04-01 10:00:00,05-01-2020 09:17,Mumbai,305,ROBBERY,25,F,Firearm,Violent Crime,14,Yes,2020-03-21 12:00:00,2020,4,April,1,Wednesday,9,Morning,,Young Adult,
84,2020-01-04 19:00:00,2020-04-01 11:00:00,05-01-2020 06:13,Kolkata,150,TRAFFIC VIOLATION,72,F,Blunt Object,Traffic Fatality,9,Yes,2020-01-20 19:00:00,2020,4,April,1,Wednesday,6,Morning,,Senior,
85,2020-01-05 18:00:00,2020-04-01 12:00:00,04-01-2020 12:40,Lucknow,542,PUBLIC INTOXICATION,48,M,Firearm,Other Crime,3,No,,2020,4,April,1,Wednesday,12,Afternoon,,Adult,
86,2020-01-06 17:00:00,2020-04-01 13:00:00,05-01-2020 06:42,Mumbai,438,VANDALISM,22,M,Other,Other Crime,5,Yes,2020-03-11 17:00:00,2020,4,April,1,Wednesday,6,Morning,,Young Adult,
87,2020-01-07 06:00:00,2020-04-01 14:00:00,04-01-2020 16:00,Lucknow,498,PUBLIC INTOXICATION,30,F,Firearm,Other Crime,10,Yes,2020-01-18 06:00:00,2020,4,April,1,Wednesday,16,Afternoon,,Young Adult,
88,2020-01-07 03:00:00,2020-04-01 15:00:00,04-01-2020 22:04,Rajkot,345,ROBBERY,11,F,Firearm,Violent Crime,1,No,,2020,4,April,1,Wednesday,22,Night,,Minor,
89,2020-01-06 22:00:00,2020-04-01 16:00:00,04-01-2020 21:21,Mumbai,108,HOMICIDE,16,F,Knife,Other Crime,6,No,,2020,4,April,1,Wednesday,21,Night,,Minor,
90,2020-01-06 18:00:00,2020-04-01 17:00:00,05-01-2020 06:38,Hyderabad,219,VEHICLE - STOLEN,73,F,Blunt Object,Violent Crime,12,No,,2020,4,April,1,Wednesday,6,Morning,,Senior,
91,2020-01-05 04:00:00,2020-04-01 18:00:00,05-01-2020 17:15,Kolkata,219,BURGLARY,72,F,Poison,Other Crime,9,No,,2020,4,April,1,Wednesday,17,Evening,,Senior,
92,2020-01-04 20:00:00,2020-04-01 19:00:00,05-01-2020 09:21,Jaipur,510,CYBERCRIME,60,F,Unknown,Other Crime,7,No,,2020,4,April,1,Wednesday,9,Morning,,Senior,
93,2020-01-05 16:00:00,2020-04-01 20:00:00,05-01-2020 07:36,Hyderabad,597,FRAUD,53,M,Unknown,Other Crime,13,Yes,2020-04-01 16:00:00,2020,4,April,1,Wednesday,7,Morning,,Senior,
94,2020-01-06 21:00:00,2020-04-01 21:00:00,05-01-2020 08:12,Mumbai,272,SEXUAL ASSAULT,42,F,Firearm,Violent Crime,3,No,,2020,4,April,1,Wednesday,8,Morning,,Adult,
95,2020-01-06 08:00:00,2020-04-01 22:00:00,04-01-2020 22:16,Vasai,413,PUBLIC INTOXICATION,10,M,Firearm,Other Crime,11,No,,2020,4,April,1,Wednesday,22,Night,,Minor,
96,2020-01-06 08:00:00,2020-04-01 23:00:00,05-01-2020 14:10,Hyderabad,355,DRUG OFFENSE,51,F,Blunt Object,Other Crime,7,No,,2020,4,April,1,Wednesday,14,Afternoon,,Senior,
97,2020-01-06 02:00:00,2020-05-01 00:00:00,05-01-2020 15:36,Nagpur,523,IDENTITY THEFT,26,F,Explosives,Violent Crime,5,Yes,2020-02-12 02:00:00,2020,5,May,1,Friday,15,Afternoon,,Young Adult,
98,2020-01-06 17:00:00,2020-05-01 01:00:00,05-01-2020 02:56,Kolkata,486,SEXUAL ASSAULT,71,M,Blunt Object,Violent Crime,6,No,,2020,5,May,1,Friday,2,Night,,Senior,
99,2020-01-06 23:00:00,2020-05-01 02:00:00,05-01-2020 14:38,Hyderabad,292,IDENTITY THEFT,74,F,Explosives,Violent Crime,15,Yes,2020-01-23 23:00:00,2020,5,May,1,Friday,14,Afternoon,,Senior,
100,2020-01-06 20:00:00,2020-05-01 03:00:00,05-01-2020 06:41,Hyderabad,455,DRUG OFFENSE,13,F,Other,Other Crime,13,Yes,2020-01-22 20:00:00,2020,5,May,1,Friday,6,Morning,,Minor,
101,2020-01-06 23:00:00,2020-05-01 04:00:00,05-01-2020 14:02,Ahmedabad,515,PUBLIC INTOXICATION,50,F,Knife,Other Crime,1,Yes,2020-01-14 23:00:00,2020,5,May,1,Friday,14,Afternoon,,Adult,
102,2020-01-05 16:00:00,2020-05-01 05:00:00,05-01-2020 22:34,Mumbai,566,EXTORTION,69,F,Explosives,Other Crime,18,No,,2020,5,May,1,Friday,22,Night,,Senior,
103,2020-01-07 00:00:00,2020-05-01 06:00:00,05-01-2020 17:43,Kanpur,419,ASSAULT,34,F,Other,Violent Crime,6,No,,2020,5,May,1,Friday,17,Evening,,Adult,
104,2020-01-07 16:00:00,2020-05-01 07:00:00,05-01-2020 14:13,Mumbai,250,VEHICLE - STOLEN,38,F,Poison,Violent Crime,14,Yes,2020-02-19 16:00:00,2020,5,May,1,Friday,14,Afternoon,,Adult,
105,2020-01-06 23:00:00,2020-05-01 08:00:00,05-01-2020 19:30,Lucknow,597,FRAUD,44,F,Blunt Object,Other Crime,16,No,,2020,5,May,1,Friday,19,Evening,,Adult,
106,2020-01-06 00:00:00,2020-05-01 09:00:00,05-01-2020 10:05,Hyderabad,583,VEHICLE - STOLEN,69,F,Unknown,Violent Crime,12,Yes,2020-02-22 00:00:00,2020,5,May,1,Friday,10,Morning,,Senior,
107,2020-01-05 11:00:00,2020-05-01 10:00:00,05-01-2020 17:21,Lucknow,342,DOMESTIC VIOLENCE,12,F,Blunt Object,Violent Crime,1,No,,2020,5,May,1,Friday,17,Evening,,Minor,
108,2020-01-07 12:00:00,2020-05-01 11:00:00,06-01-2020 09:35,Bangalore,417,ARSON,21,F,Poison,Fire Accident,3,Yes,2020-02-09 12:00:00,2020,5,May,1,Friday,9,Morning,,Young Adult,
109,2020-01-07 20:00:00,2020-05-01 12:00:00,06-01-2020 00:07,Chennai,169,PUBLIC INTOXICATION,55,F,Blunt Object,Other Crime,8,No,,2020,5,May,1,Friday,0,Night,,Senior,
110,2020-01-05 17:00:00,2020-05-01 13:00:00,05-01-2020 23:32,Delhi,464,ARSON,15,F,Other,Fire Accident,9,No,,2020,5,May,1,Friday,23,Night,,Minor,
111,2020-01-07 04:00:00,2020-05-01 14:00:00,05-01-2020 23:24,Visakhapatnam,500,ILLEGAL POSSESSION,58,F,Explosives,Other Crime,5,Yes,2020-02-16 04:00:00,2020,5,May,1,Friday,23,Night,,Senior,
112,2020-01-08 05:00:00,2020-05-01 15:00:00,06-01-2020 07:02,Delhi,183,COUNTERFEITING,37,F,Unknown,Other Crime,6,No,,2020,5,May,1,Friday,7,Morning,,Adult,
113,2020-01-07 09:00:00,2020-05-01 16:00:00,06-01-2020 14:55,Bangalore,270,HOMICIDE,49,F,Knife,Other Crime,7,Yes,2021-11-08 09:00:00,2020,5,May,1,Friday,14,Afternoon,,Adult,555.7083333333334
114,2020-01-06 15:00:00,2020-05-01 17:00:00,06-01-2020 06:42,Surat,259,EXTORTION,30,M,Poison,Other Crime,5,No,,2020,5,May,1,Friday,6,Morning,,Young Adult,
115,2020-01-07 13:00:00,2020-05-01 18:00:00,06-01-2020 08:02,Pune,184,FIREARM OFFENSE,50,F,Blunt Object,Fire Accident,15,Yes,2020-02-03 13:00:00,2020,5,May,1,Friday,8,Morning,,Adult,
116,2020-01-05 20:00:00,2020-05-01 19:00:00,06-01-2020 06:26,Mumbai,353,BURGLARY,64,F,Knife,Other Crime,10,No,,2020,5,May,1,Friday,6,Morning,,Senior,
117,2020-01-07 04:00:00,2020-05-01 20:00:00,06-01-2020 10:15,Lucknow,235,VANDALISM,43,M,Poison,Other Crime,14,Yes,2020-03-13 04:00:00,2020,5,May,1,Friday,10,Morning,,Adult,
118,2020-01-06 20:00:00,2020-05-01 21:00:00,06-01-2020 02:16,Delhi,287,DRUG OFFENSE,32,M,Explosives,Other Crime,13,Yes,2020-03-30 20:00:00,2020,5,May,1,Friday,2,Night,,Adult,
119,2020-01-07 19:00:00,2020-05-01 22:00:00,05-01-2020 23:48,Mumbai,257,ILLEGAL POSSESSION,14,M,Poison,Other Crime,3,Yes,2020-02-27 19:00:00,2020,5,May,1,Friday,23,Night,,Minor,
120,2020-01-07 02:00:00,2020-05-01 23:00:00,06-01-2020 07:04,Pune,537,TRAFFIC VIOLATION,70,M,Unknown,Traffic Fatality,3,Yes,2020-01-27 02:00:00,2020,5,May,1,Friday,7,Morning,,Senior,
121,2020-01-07 14:00:00,2020-06-01 00:00:00,06-01-2020 12:16,Ahmedabad,277,VEHICLE - STOLEN,78,F,Firearm,Violent Crime,10,Yes,2020-01-22 14:00:00,2020,6,June,1,Monday,12,Afternoon,,Senior,
122,2020-01-08 19:00:00,2020-06-01 01:00:00,06-01-2020 22:59,Delhi,321,KIDNAPPING,22,F,Other,Other Crime,19,Yes,2020-04-06 19:00:00,2020,6,June,1,Monday,22,Night,,Young Adult,
